measurement_name	peak_intensity	MF
AO_high_1_Segment8	59028.2	C7H9O4N1S0
AO_high_1_Segment8	57515.3	C7H13O4N1S0
AO_high_1_Segment8	67027.3	C8H9O4N1S0
AO_high_1_Segment8	58467	C8H11O4N1S0
AO_high_1_Segment8	67437.9	C7H9O5N1S0
AO_high_1_Segment8	58178.3	C13H17O0N1S0
AO_high_1_Segment8	57488	C8H17O4N1S0
AO_high_1_Segment8	65655.4	C10H11O3N1S0
AO_high_1_Segment8	79920.4	C9H11O5N1S0
AO_high_1_Segment8	83042.1	C9H13O5N1S0
AO_high_1_Segment8	91107.3	C10H11O5N1S0
AO_high_1_Segment8	82422.8	C10H13O5N1S0
AO_high_1_Segment8	70121.5	C10H15O5N1S0
AO_high_1_Segment8	82428.6	C9H13O6N1S0
AO_high_1_Segment8	64475.7	C13H17O3N1S0
AO_high_1_Segment8	64505.4	C11H11O5N1S0
AO_high_1_Segment8	63764.9	C12H15O4N1S0
AO_high_1_Segment8	81281.7	C11H13O5N1S0
AO_high_1_Segment8	98330.6	C10H11O6N1S0
AO_high_1_Segment8	74739.7	C11H15O5N1S0
AO_high_1_Segment8	127004	C10H13O6N1S0
AO_high_1_Segment8	64726	C11H17O5N1S0
AO_high_1_Segment8	70519.2	C9H11O7N1S0
AO_high_1_Segment8	112928.1	C10H15O6N1S0
AO_high_1_Segment8	66359.6	C9H13O7N1S0
AO_high_1_Segment8	61977.9	C13H13O4N1S0
AO_high_1_Segment8	85407.3	C11H11O6N1S0
AO_high_1_Segment8	65587.8	C12H15O5N1S0
AO_high_1_Segment8	135344.9	C11H13O6N1S0
AO_high_1_Segment8	96264.5	C10H11O7N1S0
AO_high_1_Segment8	122377.8	C11H15O6N1S0
AO_high_1_Segment8	139738.3	C10H13O7N1S0
AO_high_1_Segment8	95299.4	C10H15O7N1S0
AO_high_1_Segment8	63796	C13H15O5N1S0
AO_high_1_Segment8	81544.6	C12H13O6N1S0
AO_high_1_Segment8	102723.3	C11H11O7N1S0
AO_high_1_Segment8	61833.2	C15H11O4N1S0
AO_high_1_Segment8	106695.2	C12H15O6N1S0
AO_high_1_Segment8	180396.4	C11H13O7N1S0
AO_high_1_Segment8	109456.3	C12H17O6N1S0
AO_high_1_Segment8	77624.6	C10H11O8N1S0
AO_high_1_Segment8	187476.5	C11H15O7N1S0
AO_high_1_Segment8	109708	C10H13O8N1S0
AO_high_1_Segment8	102416	C11H17O7N1S0
AO_high_1_Segment8	69526.9	C13H13O6N1S0
AO_high_1_Segment8	99291.2	C13H15O6N1S0
AO_high_1_Segment8	136756.7	C12H13O7N1S0
AO_high_1_Segment8	100540.7	C13H17O6N1S0
AO_high_1_Segment8	90603.7	C11H11O8N1S0
AO_high_1_Segment8	215691.7	C12H15O7N1S0
AO_high_1_Segment8	186260.8	C11H13O8N1S0
AO_high_1_Segment8	173684.8	C12H17O7N1S0
AO_high_1_Segment8	190712.3	C11H15O8N1S0
AO_high_1_Segment8	111934.8	C11H17O8N1S0
AO_high_1_Segment8	71106.4	C14H15O6N1S0
AO_high_1_Segment8	102880.8	C13H13O7N1S0
AO_high_1_Segment8	95568.1	C12H11O8N1S0
AO_high_1_Segment8	183172.5	C13H15O7N1S0
AO_high_1_Segment8	91644.8	C14H19O6N1S0
AO_high_1_Segment8	182230.9	C13H17O7N1S0
AO_high_1_Segment8	64651.2	C14H21O6N1S0
AO_high_1_Segment8	335835.6	C12H15O8N1S0
AO_high_1_Segment8	114428	C13H19O7N1S0
AO_high_1_Segment8	111898.7	C11H13O9N1S0
AO_high_1_Segment8	184147.1	C12H17O8N1S0
AO_high_1_Segment8	77136.7	C11H17O9N1S0
AO_high_1_Segment8	112222.6	C14H15O7N1S0
AO_high_1_Segment8	63747.2	C15H19O6N1S0
AO_high_1_Segment8	174190.2	C13H13O8N1S0
AO_high_1_Segment8	156550.8	C14H17O7N1S0
AO_high_1_Segment8	72891.4	C15H21O6N1S0
AO_high_1_Segment8	73583.5	C12H11O9N1S0
AO_high_1_Segment8	348056.1	C13H15O8N1S0
AO_high_1_Segment8	115140.8	C14H19O7N1S0
AO_high_1_Segment8	177043.1	C12H13O9N1S0
AO_high_1_Segment8	352331.8	C13H17O8N1S0
AO_high_1_Segment8	228272.2	C12H15O9N1S0
AO_high_1_Segment8	159478.8	C12H17O9N1S0
AO_high_1_Segment8	63135.5	C13H21O8N1S0
AO_high_1_Segment8	87510.5	C12H19O9N1S0
AO_high_1_Segment8	108990.2	C14H13O8N1S0
AO_high_1_Segment8	106535	C15H17O7N1S0
AO_high_1_Segment8	277744.1	C14H15O8N1S0
AO_high_1_Segment8	104336.8	C15H19O7N1S0
AO_high_1_Segment8	64237.6	C16H23O6N1S0
AO_high_1_Segment8	198394	C13H13O9N1S0
AO_high_1_Segment8	351610.7	C14H17O8N1S0
AO_high_1_Segment8	96663.5	C15H21O7N1S0
AO_high_1_Segment8	422693.3	C13H15O9N1S0
AO_high_1_Segment8	226790.1	C14H19O8N1S0
AO_high_1_Segment8	324129.2	C13H17O9N1S0
AO_high_1_Segment8	94297.9	C14H21O8N1S0
AO_high_1_Segment8	121689.4	C13H19O9N1S0
AO_high_1_Segment8	124698	C13H21O9N1S0
AO_high_1_Segment8	136621.3	C15H15O8N1S0
AO_high_1_Segment8	72861.8	C12H19O10N1S0
AO_high_1_Segment8	76790.2	C16H19O7N1S0
AO_high_1_Segment8	64390.6	C13H23O9N1S0
AO_high_1_Segment8	148417.2	C14H13O9N1S0
AO_high_1_Segment8	259426	C15H17O8N1S0
AO_high_1_Segment8	77442.8	C16H21O7N1S0
AO_high_1_Segment8	464173.7	C14H15O9N1S0
AO_high_1_Segment8	271118.5	C15H19O8N1S0
AO_high_1_Segment8	179033.1	C13H13O10N1S0
AO_high_1_Segment8	509657.8	C14H17O9N1S0
AO_high_1_Segment8	126862.6	C15H21O8N1S0
AO_high_1_Segment8	323972.8	C13H15O10N1S0
AO_high_1_Segment8	252517.6	C14H19O9N1S0
AO_high_1_Segment8	189528	C13H17O10N1S0
AO_high_1_Segment8	70684	C16H15O8N1S0
AO_high_1_Segment8	117626.4	C13H19O10N1S0
AO_high_1_Segment8	150147.8	C16H17O8N1S0
AO_high_1_Segment8	245180.1	C15H15O9N1S0
AO_high_1_Segment8	169068.8	C16H19O8N1S0
AO_high_1_Segment8	158979.8	C14H13O10N1S0
AO_high_1_Segment8	494132.5	C15H17O9N1S0
AO_high_1_Segment8	141653.2	C16H21O8N1S0
AO_high_1_Segment8	436379.6	C14H15O10N1S0
AO_high_1_Segment8	375676.3	C15H19O9N1S0
AO_high_1_Segment8	79745	C16H23O8N1S0
AO_high_1_Segment8	456706.8	C14H17O10N1S0
AO_high_1_Segment8	152115.5	C15H21O9N1S0
AO_high_1_Segment8	230801.4	C14H19O10N1S0
AO_high_1_Segment8	107972.7	C17H19O8N1S0
AO_high_1_Segment8	108045.1	C14H23O10N1S0
AO_high_1_Segment8	289433.1	C16H17O9N1S0
AO_high_1_Segment8	94410.8	C17H21O8N1S0
AO_high_1_Segment8	382397.1	C15H15O10N1S0
AO_high_1_Segment8	332637.8	C16H19O9N1S0
AO_high_1_Segment8	76314.4	C17H23O8N1S0
AO_high_1_Segment8	106792.7	C14H13O11N1S0
AO_high_1_Segment8	679713.4	C15H17O10N1S0
AO_high_1_Segment8	224642	C16H21O9N1S0
AO_high_1_Segment8	438469.2	C15H19O10N1S0
AO_high_1_Segment8	100477.9	C16H23O9N1S0
AO_high_1_Segment8	140107.2	C14H19O11N1S0
AO_high_1_Segment8	67617.1	C16H13O10N1S0
AO_high_1_Segment8	82486.3	C18H21O8N1S0
AO_high_1_Segment8	210928.3	C17H19O9N1S0
AO_high_1_Segment8	75284.7	C14H23O11N1S0
AO_high_1_Segment8	94801.4	C15H13O11N1S0
AO_high_1_Segment8	484338	C16H17O10N1S0
AO_high_1_Segment8	187186.6	C17H21O9N1S0
AO_high_1_Segment8	332275.5	C15H15O11N1S0
AO_high_1_Segment8	510740.1	C16H19O10N1S0
AO_high_1_Segment8	111164.8	C17H23O9N1S0
AO_high_1_Segment8	498485.5	C15H17O11N1S0
AO_high_1_Segment8	248918.1	C16H21O10N1S0
AO_high_1_Segment8	82254.7	C17H25O9N1S0
AO_high_1_Segment8	300871.3	C15H19O11N1S0
AO_high_1_Segment8	72315.9	C16H23O10N1S0
AO_high_1_Segment8	67512.8	C22H17O6N1S0
AO_high_1_Segment8	119984.9	C15H21O11N1S0
AO_high_1_Segment8	76672.5	C15H23O11N1S0
AO_high_1_Segment8	73290.4	C16H13O11N1S0
AO_high_1_Segment8	262267	C17H17O10N1S0
AO_high_1_Segment8	130987.6	C18H21O9N1S0
AO_high_1_Segment8	78543.9	C15H25O11N1S0
AO_high_1_Segment8	68804.2	C19H25O8N1S0
AO_high_1_Segment8	252123.8	C16H15O11N1S0
AO_high_1_Segment8	445980.4	C17H19O10N1S0
AO_high_1_Segment8	100945	C18H23O9N1S0
AO_high_1_Segment8	566909.3	C16H17O11N1S0
AO_high_1_Segment8	322397.9	C17H21O10N1S0
AO_high_1_Segment8	508830.7	C16H19O11N1S0
AO_high_1_Segment8	129287.3	C17H23O10N1S0
AO_high_1_Segment8	200759.6	C15H17O12N1S0
AO_high_1_Segment8	87544.8	C17H25O10N1S0
AO_high_1_Segment8	73250.9	C15H21O12N1S0
AO_high_1_Segment8	142483.7	C17H15O11N1S0
AO_high_1_Segment8	196484.3	C18H19O10N1S0
AO_high_1_Segment8	377317.5	C17H17O11N1S0
AO_high_1_Segment8	215814.2	C18H21O10N1S0
AO_high_1_Segment8	69870.8	C19H25O9N1S0
AO_high_1_Segment8	197302.9	C16H15O12N1S0
AO_high_1_Segment8	484583.5	C17H19O11N1S0
AO_high_1_Segment8	143496.1	C18H23O10N1S0
AO_high_1_Segment8	343560.9	C16H17O12N1S0
AO_high_1_Segment8	319049.6	C17H21O11N1S0
AO_high_1_Segment8	96058.2	C18H25O10N1S0
AO_high_1_Segment8	82555	C23H15O7N1S0
AO_high_1_Segment8	303467.1	C16H19O12N1S0
AO_high_1_Segment8	130755.7	C17H23O11N1S0
AO_high_1_Segment8	142349.3	C16H21O12N1S0
AO_high_1_Segment8	72470	C17H25O11N1S0
AO_high_1_Segment8	185329.1	C18H17O11N1S0
AO_high_1_Segment8	139169.8	C19H21O10N1S0
AO_high_1_Segment8	70346.1	C16H25O12N1S0
AO_high_1_Segment8	151731.1	C17H15O12N1S0
AO_high_1_Segment8	323507.7	C18H19O11N1S0
AO_high_1_Segment8	122132.3	C19H23O10N1S0
AO_high_1_Segment8	273910.3	C18H21O11N1S0
AO_high_1_Segment8	391896.4	C17H19O12N1S0
AO_high_1_Segment8	178921	C18H23O11N1S0
AO_high_1_Segment8	222907.3	C17H21O12N1S0
AO_high_1_Segment8	67295.9	C18H25O11N1S0
AO_high_1_Segment8	82133.5	C23H15O8N1S0
AO_high_1_Segment8	137459.4	C19H19O11N1S0
AO_high_1_Segment8	70156	C20H23O10N1S0
AO_high_1_Segment8	211558	C18H17O12N1S0
AO_high_1_Segment8	191030.6	C19H21O11N1S0
AO_high_1_Segment8	69415.3	C20H25O10N1S0
AO_high_1_Segment8	388969.3	C18H19O12N1S0
AO_high_1_Segment8	160650	C19H23O11N1S0
AO_high_1_Segment8	325292.8	C18H21O12N1S0
AO_high_1_Segment8	217871.7	C17H19O13N1S0
AO_high_1_Segment8	126776.3	C18H23O12N1S0
AO_high_1_Segment8	73026.7	C16H17O14N1S0
AO_high_1_Segment8	141363.3	C17H21O13N1S0
AO_high_1_Segment8	102266.6	C20H21O11N1S0
AO_high_1_Segment8	169101.9	C19H19O12N1S0
AO_high_1_Segment8	230354	C19H21O12N1S0
AO_high_1_Segment8	93122.6	C20H25O11N1S0
AO_high_1_Segment8	263173.5	C18H19O13N1S0
AO_high_1_Segment8	145046.1	C19H23O12N1S0
AO_high_1_Segment8	68902.8	C20H27O11N1S0
AO_high_1_Segment8	205577.8	C18H21O13N1S0
AO_high_1_Segment8	77090.6	C18H25O13N1S0
AO_high_1_Segment8	104282.2	C19H17O13N1S0
AO_high_1_Segment8	145050.8	C20H21O12N1S0
AO_high_1_Segment8	78035.5	C21H25O11N1S0
AO_high_1_Segment8	205982.9	C19H19O13N1S0
AO_high_1_Segment8	166063.6	C20H23O12N1S0
AO_high_1_Segment8	283491.7	C19H21O13N1S0
AO_high_1_Segment8	162439.8	C18H19O14N1S0
AO_high_1_Segment8	157144.5	C19H23O13N1S0
AO_high_1_Segment8	75348.6	C25H17O9N1S0
AO_high_1_Segment8	70904.7	C24H15O10N1S0
AO_high_1_Segment8	75637.5	C18H23O14N1S0
AO_high_1_Segment8	103322.8	C21H23O12N1S0
AO_high_1_Segment8	185726.9	C20H21O13N1S0
AO_high_1_Segment8	152387.6	C20H23O13N1S0
AO_high_1_Segment8	114056.3	C20H25O13N1S0
AO_high_1_Segment8	72676.1	C26H19O9N1S0
AO_high_1_Segment8	95148.2	C19H23O14N1S0
AO_high_1_Segment8	74511.9	C25H17O10N1S0
AO_high_1_Segment8	79615.6	C20H17O14N1S0
AO_high_1_Segment8	75455.9	C24H17O11N1S0
AO_high_1_Segment8	97088.3	C21H21O13N1S0
AO_high_1_Segment8	89459.7	C20H19O14N1S0
AO_high_1_Segment8	131836.4	C21H23O13N1S0
AO_high_1_Segment8	74931.1	C19H17O15N1S0
AO_high_1_Segment8	99560.4	C21H25O13N1S0
AO_high_1_Segment8	100366.9	C19H19O15N1S0
AO_high_1_Segment8	73500.1	C21H27O13N1S0
AO_high_1_Segment8	72410.5	C19H21O15N1S0
AO_high_1_Segment8	91881.9	C19H23O15N1S0
AO_high_1_Segment8	69055	C22H37O12N1S0
AO_high_1_Segment8	78967.8	C22H23O13N1S0
AO_high_1_Segment8	113025.9	C21H21O14N1S0
AO_high_1_Segment8	94434.7	C21H25O14N1S0
AO_high_1_Segment8	80219.8	C27H19O11N1S0
AO_high_1_Segment8	109735.9	C22H25O15N1S0
AO_high_1_Segment8	73085.2	C21H25O16N1S0
AO_high_1_Segment8	70490.2	C23H31O15N1S0
AO_high_1_Segment8	72295.2	C30H23O11N1S0
AO_high_1_Segment8	79059.3	C24H27O16N1S0
AO_high_1_Segment8	100300.8	C41H85O0N1S0
AO_high_1_Segment8	75144.1	C29H41O18N1S0
AO_high_1_Segment8	75194.4	C33H39O16N1S0
AO_high_1_Segment8	74509	C39H45O12N1S0
AO_high_1_Segment8	77029.4	C37H37O16N1S0
AO_high_1_Segment8	76679.4	C37H41O19N1S0
AO_high_1_Segment8	79250.3	C47H79O10N1S0
AO_high_1_Segment8	77332.1	C39H45O20N1S0
AO_high_1_Segment8	81833.6	C38H53O23N1S0
AO_high_1_Segment8	80196.4	C58H97O6N1S0
AO_high_1_Segment8	80411.8	C55H75O13N1S0
AO_high_1_Segment8	93622.9	C52H89O15N1S0
AO_high_1_Segment9	65329.9	C8H9O3N1S0
AO_high_1_Segment9	75019.2	C7H7O4N1S0
AO_high_1_Segment9	79066.3	C7H9O4N1S0
AO_high_1_Segment9	59728.8	C10H11O2N1S0
AO_high_1_Segment9	67207.5	C8H7O4N1S0
AO_high_1_Segment9	64219.3	C9H11O3N1S0
AO_high_1_Segment9	96761.7	C8H9O4N1S0
AO_high_1_Segment9	56337.4	C11H7O2N1S0
AO_high_1_Segment9	86005.4	C8H11O4N1S0
AO_high_1_Segment9	59733.7	C8H13O4N1S0
AO_high_1_Segment9	60359.6	C9H17O3N1S0
AO_high_1_Segment9	60983	C9H7O4N1S0
AO_high_1_Segment9	59976.2	C10H11O3N1S0
AO_high_1_Segment9	72956.7	C9H9O4N1S0
AO_high_1_Segment9	65185.1	C10H13O3N1S0
AO_high_1_Segment9	79068.2	C9H11O4N1S0
AO_high_1_Segment9	75317.6	C9H13O4N1S0
AO_high_1_Segment9	58755.6	C11H21O2N1S0
AO_high_1_Segment9	76992.5	C8H11O5N1S0
AO_high_1_Segment9	62967.4	C10H9O4N1S0
AO_high_1_Segment9	64139.4	C10H11O4N1S0
AO_high_1_Segment9	62332.8	C9H9O5N1S0
AO_high_1_Segment9	83719.5	C10H13O4N1S0
AO_high_1_Segment9	94310.4	C9H11O5N1S0
AO_high_1_Segment9	69401.1	C10H15O4N1S0
AO_high_1_Segment9	69016.6	C9H13O5N1S0
AO_high_1_Segment9	82552.8	C11H11O4N1S0
AO_high_1_Segment9	68007.1	C10H9O5N1S0
AO_high_1_Segment9	69911.5	C11H13O4N1S0
AO_high_1_Segment9	103992.6	C10H11O5N1S0
AO_high_1_Segment9	76546.9	C11H15O4N1S0
AO_high_1_Segment9	70575.8	C9H9O6N1S0
AO_high_1_Segment9	133607.9	C10H13O5N1S0
AO_high_1_Segment9	83966.3	C9H11O6N1S0
AO_high_1_Segment9	109900.3	C10H15O5N1S0
AO_high_1_Segment9	63590.4	C12H23O3N1S0
AO_high_1_Segment9	67579.1	C9H13O6N1S0
AO_high_1_Segment9	65051.4	C9H15O6N1S0
AO_high_1_Segment9	68079.5	C12H13O4N1S0
AO_high_1_Segment9	71090	C11H11O5N1S0
AO_high_1_Segment9	76491.4	C12H15O4N1S0
AO_high_1_Segment9	70158	C10H9O6N1S0
AO_high_1_Segment9	109655.3	C11H13O5N1S0
AO_high_1_Segment9	114207.2	C10H11O6N1S0
AO_high_1_Segment9	117784.3	C11H15O5N1S0
AO_high_1_Segment9	166448.4	C10H13O6N1S0
AO_high_1_Segment9	103114.2	C10H15O6N1S0
AO_high_1_Segment9	67458.5	C12H11O5N1S0
AO_high_1_Segment9	71021.1	C13H15O4N1S0
AO_high_1_Segment9	65154.4	C11H9O6N1S0
AO_high_1_Segment9	96014.9	C12H13O5N1S0
AO_high_1_Segment9	62297.4	C13H17O4N1S0
AO_high_1_Segment9	115775.4	C11H11O6N1S0
AO_high_1_Segment9	110343.8	C12H15O5N1S0
AO_high_1_Segment9	194139.2	C11H13O6N1S0
AO_high_1_Segment9	69607.5	C12H17O5N1S0
AO_high_1_Segment9	107202	C10H11O7N1S0
AO_high_1_Segment9	187498.3	C11H15O6N1S0
AO_high_1_Segment9	152805	C10H13O7N1S0
AO_high_1_Segment9	106909.1	C11H17O6N1S0
AO_high_1_Segment9	62179.7	C18H29O0N1S0
AO_high_1_Segment9	99244.1	C10H15O7N1S0
AO_high_1_Segment9	63715.8	C13H13O5N1S0
AO_high_1_Segment9	76744.7	C12H11O6N1S0
AO_high_1_Segment9	78964.7	C13H15O5N1S0
AO_high_1_Segment9	70208.7	C14H19O4N1S0
AO_high_1_Segment9	149055.2	C12H13O6N1S0
AO_high_1_Segment9	104891.8	C11H11O7N1S0
AO_high_1_Segment9	236763.7	C12H15O6N1S0
AO_high_1_Segment9	225942.8	C11H13O7N1S0
AO_high_1_Segment9	177510.7	C12H17O6N1S0
AO_high_1_Segment9	250480.7	C11H15O7N1S0
AO_high_1_Segment9	68132.6	C12H19O6N1S0
AO_high_1_Segment9	74978.1	C10H13O8N1S0
AO_high_1_Segment9	144666	C11H17O7N1S0
AO_high_1_Segment9	81077.8	C16H21O3N1S0
AO_high_1_Segment9	77615.2	C10H15O8N1S0
AO_high_1_Segment9	63295.2	C14H15O5N1S0
AO_high_1_Segment9	97500.6	C13H13O6N1S0
AO_high_1_Segment9	82124.5	C14H17O5N1S0
AO_high_1_Segment9	101358.8	C12H11O7N1S0
AO_high_1_Segment9	209206.8	C13H15O6N1S0
AO_high_1_Segment9	63102.2	C11H9O8N1S0
AO_high_1_Segment9	206242.1	C12H13O7N1S0
AO_high_1_Segment9	242258	C13H17O6N1S0
AO_high_1_Segment9	103407	C11H11O8N1S0
AO_high_1_Segment9	339247	C12H15O7N1S0
AO_high_1_Segment9	121582.9	C13H19O6N1S0
AO_high_1_Segment9	146445.9	C11H13O8N1S0
AO_high_1_Segment9	265197.9	C12H17O7N1S0
AO_high_1_Segment9	193839.4	C11H15O8N1S0
AO_high_1_Segment9	104223.4	C12H19O7N1S0
AO_high_1_Segment9	107491.8	C11H17O8N1S0
AO_high_1_Segment9	62123.9	C15H17O5N1S0
AO_high_1_Segment9	69571.2	C13H11O7N1S0
AO_high_1_Segment9	125691.4	C14H15O6N1S0
AO_high_1_Segment9	180357.9	C13H13O7N1S0
AO_high_1_Segment9	190694.1	C14H17O6N1S0
AO_high_1_Segment9	69374.4	C15H21O5N1S0
AO_high_1_Segment9	75215.4	C12H11O8N1S0
AO_high_1_Segment9	379699.6	C13H15O7N1S0
AO_high_1_Segment9	138755.9	C14H19O6N1S0
AO_high_1_Segment9	250115.8	C12H13O8N1S0
AO_high_1_Segment9	423364.2	C13H17O7N1S0
AO_high_1_Segment9	82068.5	C14H21O6N1S0
AO_high_1_Segment9	438615	C12H15O8N1S0
AO_high_1_Segment9	195319.4	C13H19O7N1S0
AO_high_1_Segment9	64068.2	C14H9O7N1S0
AO_high_1_Segment9	92012.4	C11H13O9N1S0
AO_high_1_Segment9	250636.8	C12H17O8N1S0
AO_high_1_Segment9	72237.2	C13H21O7N1S0
AO_high_1_Segment9	66988.3	C14H11O7N1S0
AO_high_1_Segment9	79484.5	C11H15O9N1S0
AO_high_1_Segment9	82108.7	C15H15O6N1S0
AO_high_1_Segment9	107285	C12H19O8N1S0
AO_high_1_Segment9	97478.7	C14H13O7N1S0
AO_high_1_Segment9	64343	C11H17O9N1S0
AO_high_1_Segment9	91959.2	C15H17O6N1S0
AO_high_1_Segment9	64263.5	C12H21O8N1S0
AO_high_1_Segment9	70663.7	C16H21O5N1S0
AO_high_1_Segment9	67030.7	C13H11O8N1S0
AO_high_1_Segment9	274139.3	C14H15O7N1S0
AO_high_1_Segment9	103227.8	C15H19O6N1S0
AO_high_1_Segment9	81260.3	C16H23O5N1S0
AO_high_1_Segment9	247609.2	C13H13O8N1S0
AO_high_1_Segment9	409561.8	C14H17O7N1S0
AO_high_1_Segment9	95778.4	C15H21O6N1S0
AO_high_1_Segment9	79569	C12H11O9N1S0
AO_high_1_Segment9	533753.6	C13H15O8N1S0
AO_high_1_Segment9	332794.2	C14H19O7N1S0
AO_high_1_Segment9	62994.8	C15H23O6N1S0
AO_high_1_Segment9	175147	C12H13O9N1S0
AO_high_1_Segment9	564315.7	C13H17O8N1S0
AO_high_1_Segment9	142700.3	C14H21O7N1S0
AO_high_1_Segment9	237534.7	C12H15O9N1S0
AO_high_1_Segment9	218943.3	C13H19O8N1S0
AO_high_1_Segment9	74776	C14H23O7N1S0
AO_high_1_Segment9	163043.8	C12H17O9N1S0
AO_high_1_Segment9	67516.1	C16H17O6N1S0
AO_high_1_Segment9	81940.5	C13H21O8N1S0
AO_high_1_Segment9	78425	C14H11O8N1S0
AO_high_1_Segment9	133881.7	C15H15O7N1S0
AO_high_1_Segment9	74338.1	C12H19O9N1S0
AO_high_1_Segment9	134704.5	C14H13O8N1S0
AO_high_1_Segment9	74000.9	C11H17O10N1S0
AO_high_1_Segment9	228113.3	C15H17O7N1S0
AO_high_1_Segment9	63385.7	C12H21O9N1S0
AO_high_1_Segment9	80362	C16H21O6N1S0
AO_high_1_Segment9	68250.7	C17H25O5N1S0
AO_high_1_Segment9	517657	C14H15O8N1S0
AO_high_1_Segment9	311769.8	C15H19O7N1S0
AO_high_1_Segment9	96058.5	C16H23O6N1S0
AO_high_1_Segment9	253665.6	C13H13O9N1S0
AO_high_1_Segment9	819650.4	C14H17O8N1S0
AO_high_1_Segment9	170915.2	C15H21O7N1S0
AO_high_1_Segment9	73435.9	C16H25O6N1S0
AO_high_1_Segment9	479083.8	C13H15O9N1S0
AO_high_1_Segment9	478700.5	C14H19O8N1S0
AO_high_1_Segment9	81173.3	C15H23O7N1S0
AO_high_1_Segment9	83741.6	C12H13O10N1S0
AO_high_1_Segment9	422358.4	C13H17O9N1S0
AO_high_1_Segment9	152583.2	C14H21O8N1S0
AO_high_1_Segment9	118912.8	C12H15O10N1S0
AO_high_1_Segment9	63385.1	C16H15O7N1S0
AO_high_1_Segment9	159521.5	C13H19O9N1S0
AO_high_1_Segment9	79450.3	C14H23O8N1S0
AO_high_1_Segment9	84571.7	C15H13O8N1S0
AO_high_1_Segment9	79452.2	C12H17O10N1S0
AO_high_1_Segment9	121516.5	C16H17O7N1S0
AO_high_1_Segment9	87821	C13H21O9N1S0
AO_high_1_Segment9	65637.8	C14H25O8N1S0
AO_high_1_Segment9	63806.5	C14H11O9N1S0
AO_high_1_Segment9	259863.3	C15H15O8N1S0
AO_high_1_Segment9	168952.1	C16H19O7N1S0
AO_high_1_Segment9	216322.2	C14H13O9N1S0
AO_high_1_Segment9	650818.9	C15H17O8N1S0
AO_high_1_Segment9	211171.7	C16H21O7N1S0
AO_high_1_Segment9	67228.5	C17H25O6N1S0
AO_high_1_Segment9	638317.7	C14H15O9N1S0
AO_high_1_Segment9	670702.4	C15H19O8N1S0
AO_high_1_Segment9	130287.2	C16H23O7N1S0
AO_high_1_Segment9	147560.1	C13H13O10N1S0
AO_high_1_Segment9	851864.9	C14H17O9N1S0
AO_high_1_Segment9	289241.7	C15H21O8N1S0
AO_high_1_Segment9	263747	C13H15O10N1S0
AO_high_1_Segment9	459075.8	C14H19O9N1S0
AO_high_1_Segment9	103284.5	C15H23O8N1S0
AO_high_1_Segment9	238285.3	C13H17O10N1S0
AO_high_1_Segment9	162702.1	C14H21O9N1S0
AO_high_1_Segment9	106278.5	C16H15O8N1S0
AO_high_1_Segment9	112022.9	C13H19O10N1S0
AO_high_1_Segment9	96823.3	C17H19O7N1S0
AO_high_1_Segment9	114958.8	C15H13O9N1S0
AO_high_1_Segment9	304511.5	C16H17O8N1S0
AO_high_1_Segment9	137824.2	C17H21O7N1S0
AO_high_1_Segment9	444327.1	C15H15O9N1S0
AO_high_1_Segment9	466983.8	C16H19O8N1S0
AO_high_1_Segment9	104024.6	C17H23O7N1S0
AO_high_1_Segment9	147470.2	C14H13O10N1S0
AO_high_1_Segment9	912782.9	C15H17O9N1S0
AO_high_1_Segment9	349263.6	C16H21O8N1S0
AO_high_1_Segment9	502261.4	C14H15O10N1S0
AO_high_1_Segment9	837814.1	C15H19O9N1S0
AO_high_1_Segment9	134854.8	C16H23O8N1S0
AO_high_1_Segment9	71643.4	C13H13O11N1S0
AO_high_1_Segment9	546012.1	C14H17O10N1S0
AO_high_1_Segment9	325084.8	C15H21O9N1S0
AO_high_1_Segment9	93233.6	C13H15O11N1S0
AO_high_1_Segment9	292354.3	C14H19O10N1S0
AO_high_1_Segment9	77690.9	C15H23O9N1S0
AO_high_1_Segment9	78423.3	C13H17O11N1S0
AO_high_1_Segment9	146215.6	C17H17O8N1S0
AO_high_1_Segment9	112328	C14H21O10N1S0
AO_high_1_Segment9	65240.3	C18H21O7N1S0
AO_high_1_Segment9	204908.2	C16H15O9N1S0
AO_high_1_Segment9	82084.6	C13H19O11N1S0
AO_high_1_Segment9	236492.9	C17H19O8N1S0
AO_high_1_Segment9	76413.3	C14H23O10N1S0
AO_high_1_Segment9	80725.5	C18H23O7N1S0
AO_high_1_Segment9	65440.2	C22H39O3N1S0
AO_high_1_Segment9	140688.5	C15H13O10N1S0
AO_high_1_Segment9	606833.1	C16H17O9N1S0
AO_high_1_Segment9	282033.8	C17H21O8N1S0
AO_high_1_Segment9	65410.2	C14H25O10N1S0
AO_high_1_Segment9	90874.4	C18H25O7N1S0
AO_high_1_Segment9	503061	C15H15O10N1S0
AO_high_1_Segment9	856597.7	C16H19O9N1S0
AO_high_1_Segment9	193750.3	C17H23O8N1S0
AO_high_1_Segment9	101016.6	C14H13O11N1S0
AO_high_1_Segment9	961081.3	C15H17O10N1S0
AO_high_1_Segment9	545849.9	C16H21O9N1S0
AO_high_1_Segment9	97434.6	C17H25O8N1S0
AO_high_1_Segment9	695261.3	C15H19O10N1S0
AO_high_1_Segment9	177661.9	C16H23O9N1S0
